t+AF8-degree+AF8-celsius,data,long,lat,hora,umidade,altitude,velocidade,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,velocidade,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,velocidade,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,velocidade,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
28.4,20161220,593924,8277786,201015,63.7,151.5,21.72,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593921,8277792,201016,63.7,151.6,21.72,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593918,8277796,201017,63.7,151.7,21.72,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593916,8277801,201018,63.7,151.7,17.3,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593913,8277803,201019,63.6,152,17.3,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593909,8277804,201020,63.6,152.4,17.3,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593904,8277802,201021,63.6,152.7,17.3,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593902,8277799,201022,63.6,153.2,17.3,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593902,8277793,201023,63.6,153.2,18.56,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
28.4,20161220,593903,8277788,201024,63.6,153.9,18.56,4.41,61.58,13.92,10.92,9.05,0.13,20110925,593926,8277799,202343,30.56759775,52.827851,160,0,18.01,59.65,1.98,6.86,13.44,0.06,20110925,594004,8277653,202313,30.66913977,52.73030777,161,31,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353,20110925,594028,8277576,202303,30.66913977,53.2180239,159,29,10.628401607273174,72.16067456235218,2.1374623020583297,7.565086650312574,1.7475139141673919,5.760860963836353
